post1,post2,label
"Finally! Girls who I can schmooze with who don't freeze the minute they remember I've been diagnosed with breast cancer. I was diagnosed on Aug. 12th - got the news by phone in the parking lot of Lowe's, but that was my fault, not the radiologist, the day before school inservice started. I was a wreck, but couldn't afford to miss the next day since I'll have to be out later. People have been super supportive, but it's either a sweet pat on the back or s super smiley face attitude. I'm kind of outside the loop because if anyone is griping about anything, they go silent immediately when I come in because they think their complaining is petty compared to ""my new reality"". I understand their feelings, but I just want my old reality back - I like being the caretaker not the other side.
Question - Why are you sent to a surgeon first instead of an oncologist? or was it just me?","I appreciate it. I've been trying to just put on a good face at work and home, but it's the night hours that are the worst. Not sleeping or waking up every hour with that heaviness that won't go away. Has anyone had experience with severe vertigo since diagnosis? I was taken to the emergency room Sunday for it and the doc said it can be triggered by stress????? I actually thought I was handling everything ok but.... ",1
"We're all here to support and encourage each other. Great to have loving support from family and friends. Yet, only those who receive a diagnosis really and truly understand the experience.
Surgery is often the first step; hence, surgeon is first up. Final post-surgery pathology results will determine recommended next treatments. That's when the oncologists come in. Some patients meet all three - surgeon, medical oncologist, and radiation oncologist - at the very beginning.
Visit often. We'll be here for you.","I appreciate it. I've been trying to just put on a good face at work and home, but it's the night hours that are the worst. Not sleeping or waking up every hour with that heaviness that won't go away. Has anyone had experience with severe vertigo since diagnosis? I was taken to the emergency room Sunday for it and the doc said it can be triggered by stress????? I actually thought I was handling everything ok but.... ",1
"Hi everyone.  I just recently changed to a new GYN and she sent me for a bone density test (I'm 46), my first.  The results I got back yesterday took me by surprise.  My T-score for the spine was -3!  That means I have osteoporosis.  My hip was fine but my wrist was -1.1, between normal and osteopenia.  Anyone else with scores like this?  What treatment are you receiving?  The GYN wants me to discuss with the onc. whether taking calcium & vit. D would interfere with my treatments (tamoxifen, herceptin).  Is anyone taking fosamax?  I'm thinking maybe that's the way to go.  I'd appreciate any input, thanks.
Susan","Hi
My doctor has had me receiving Zomeda for the past year and it looks like it has definitely strenghten my bones.  I take it by IV once a month and the treatment last approximately 20 minutes.  I have had no negative side effects.  I began taking it because of osteoporosis as well as having some lesions on my back bone.  Now all lesions are gone and my bones are stronger and therefore less likely to be attacked by cancer. I was diagnosed with breast cancer at 40, I am now 51 years old 
",1
"Hi everyone.  I just recently changed to a new GYN and she sent me for a bone density test (I'm 46), my first.  The results I got back yesterday took me by surprise.  My T-score for the spine was -3!  That means I have osteoporosis.  My hip was fine but my wrist was -1.1, between normal and osteopenia.  Anyone else with scores like this?  What treatment are you receiving?  The GYN wants me to discuss with the onc. whether taking calcium & vit. D would interfere with my treatments (tamoxifen, herceptin).  Is anyone taking fosamax?  I'm thinking maybe that's the way to go.  I'd appreciate any input, thanks.
Susan","Hi Odile.  Would you explain a little about the lesions?  How did you find out you had them?  I saw the term ""hypercalcification of malignancy"" while researching the osteoporosis and wonder if it is connected.  How long will you be taking the Zomeda, do you know?  Glad to hear it's working for you. Thanks.
Susan
",1
"Hi
My doctor has had me receiving Zomeda for the past year and it looks like it has definitely strenghten my bones.  I take it by IV once a month and the treatment last approximately 20 minutes.  I have had no negative side effects.  I began taking it because of osteoporosis as well as having some lesions on my back bone.  Now all lesions are gone and my bones are stronger and therefore less likely to be attacked by cancer. I was diagnosed with breast cancer at 40, I am now 51 years old 
","Hi Odile.  Would you explain a little about the lesions?  How did you find out you had them?  I saw the term ""hypercalcification of malignancy"" while researching the osteoporosis and wonder if it is connected.  How long will you be taking the Zomeda, do you know?  Glad to hear it's working for you. Thanks.
Susan
",1
"I forgot to ask - is anyone doing the Crazy Horse Memorial Volksmarch tomorrow or Sunday?  I'll be there tomorrow and hopefully we do get to actually do the 10k from the parking lot up onto the arm and then back down to the parking lot.  We have a lot of weather/flooding Watches/Warning so the actual 'walk' may not be allowed.  The site will be open and they have a HUGE building with museums/exhibits to see anyway (of course there are also 'shops').  The 'admission' to Crazy Horse Memorial this weekend is 3 cans of food per person for the Food Bank.
If anyone is interested - check out the Crazy Horse Memorial Volksmarch.  The only time of the year that it is possible to walk up to the arm of the carving is during the Spring or Fall Volksmarch.
Winyan - The Power Within
Susan","I so love the way you asked us if we doing that walk....like we all live out there in the Wild West...  :)       I hope you had a fine turnout and nobody floated off....be safe .........  Love Courage and Hope,   Glo
 ",1
"I forgot to ask - is anyone doing the Crazy Horse Memorial Volksmarch tomorrow or Sunday?  I'll be there tomorrow and hopefully we do get to actually do the 10k from the parking lot up onto the arm and then back down to the parking lot.  We have a lot of weather/flooding Watches/Warning so the actual 'walk' may not be allowed.  The site will be open and they have a HUGE building with museums/exhibits to see anyway (of course there are also 'shops').  The 'admission' to Crazy Horse Memorial this weekend is 3 cans of food per person for the Food Bank.
If anyone is interested - check out the Crazy Horse Memorial Volksmarch.  The only time of the year that it is possible to walk up to the arm of the carving is during the Spring or Fall Volksmarch.
Winyan - The Power Within
Susan","I certianly am aware that there are few (if any) besides me who live here - however people do come here for it all over the States and Internationally.  We saw vehicle from at least 30 States in thh parking lot and I talked to several internation tourist, quite a few Asians and a few Europeans.
We were able to start but could not make it to the top - thunderstorms with close lightening developed so it was closed down.  Was beautifully sunny when we got there but did not stay hat way. 
We only got a few sprinkles/drops on us as we were leaving but about 10 +/- miles north in/around Hill City had gotten between 3 and 4 inches in the time between when we went through it and headed back with fairly major flashflooding throughout the town.  HP and Sheriff had US 385 south of Hill City closed to all traffic as it and 16 were impassable.  Everyone headed north were routed onto 16A, the Mt. Rushmore cutoff and go through Keystone.
While everything did not go as planned - we had a great time!
Winyan- The Power Within
Susan 
 ",1
"I so love the way you asked us if we doing that walk....like we all live out there in the Wild West...  :)       I hope you had a fine turnout and nobody floated off....be safe .........  Love Courage and Hope,   Glo
 ","I certianly am aware that there are few (if any) besides me who live here - however people do come here for it all over the States and Internationally.  We saw vehicle from at least 30 States in thh parking lot and I talked to several internation tourist, quite a few Asians and a few Europeans.
We were able to start but could not make it to the top - thunderstorms with close lightening developed so it was closed down.  Was beautifully sunny when we got there but did not stay hat way. 
We only got a few sprinkles/drops on us as we were leaving but about 10 +/- miles north in/around Hill City had gotten between 3 and 4 inches in the time between when we went through it and headed back with fairly major flashflooding throughout the town.  HP and Sheriff had US 385 south of Hill City closed to all traffic as it and 16 were impassable.  Everyone headed north were routed onto 16A, the Mt. Rushmore cutoff and go through Keystone.
While everything did not go as planned - we had a great time!
Winyan- The Power Within
Susan 
 ",1
"Im a little worried and would like some thoughts on this....
Had my bilateral mastectomy in Feb.Got my expanders in and had my 1st expanstion 3 weeks post op. 1 week ish after that expansion,during massage,i felt a hard lump on the top of my rib,just on the crease of my left 'breast'. It doesn't move,its very solid,it doesnt hurt (unless i've been prodding it!).
When i went for my 2nd expansion 3 weeks ago,i mentioned it to the PS that was doing my top-up that day.She briefly felt it and told me it was eith a rib (???) or my expander. 
Now im no doctor,but im pretty sure i cant just grow an extra rib the size and shape of half a small coin!!!! And i really cant see it being my expander,as the rest of the expander is nice and smooth and fine.
I go for my 3rd expansion tomorrow and i will tell them again.Hopefully i'll see my usual PS tomorrow.Its really on my mind as when i first got HL,i was ignored when i told them about the lump i found. I have little faith in medics now. I want to ask if they'll do an ultrasound to put my mind at ease but we get state health care here in the UK so not sure i can simply request one.
Any thoughts on this lump would be appreciated.
Kay","I felt something like that and it was the expander. rads onc concurred. In my case the expander is gone, so no longer an issue, but have it checked out. even for peace of mind. ",1
"Im a little worried and would like some thoughts on this....
Had my bilateral mastectomy in Feb.Got my expanders in and had my 1st expanstion 3 weeks post op. 1 week ish after that expansion,during massage,i felt a hard lump on the top of my rib,just on the crease of my left 'breast'. It doesn't move,its very solid,it doesnt hurt (unless i've been prodding it!).
When i went for my 2nd expansion 3 weeks ago,i mentioned it to the PS that was doing my top-up that day.She briefly felt it and told me it was eith a rib (???) or my expander. 
Now im no doctor,but im pretty sure i cant just grow an extra rib the size and shape of half a small coin!!!! And i really cant see it being my expander,as the rest of the expander is nice and smooth and fine.
I go for my 3rd expansion tomorrow and i will tell them again.Hopefully i'll see my usual PS tomorrow.Its really on my mind as when i first got HL,i was ignored when i told them about the lump i found. I have little faith in medics now. I want to ask if they'll do an ultrasound to put my mind at ease but we get state health care here in the UK so not sure i can simply request one.
Any thoughts on this lump would be appreciated.
Kay","carkris: was your lump hard?? It doesn't move and when i look in the mirror,i can see where it is making a small dent in the bottom of the expander. I am reallt hoping it is just scar tissue or something simple.
DebbyM:i will def be mentioning it AGAIN tomorrow at my expansion.And i will keep mentioning it each time i go too.
Thanks all ",1
"I felt something like that and it was the expander. rads onc concurred. In my case the expander is gone, so no longer an issue, but have it checked out. even for peace of mind. ","carkris: was your lump hard?? It doesn't move and when i look in the mirror,i can see where it is making a small dent in the bottom of the expander. I am reallt hoping it is just scar tissue or something simple.
DebbyM:i will def be mentioning it AGAIN tomorrow at my expansion.And i will keep mentioning it each time i go too.
Thanks all ",1
"Hi,
Can anyone tell me their experience about how long it takes for hair to start growing back after chemo. I had my last chemo treatment 6 weeks ago and still there is no hair growing, no fuzz either and I am starting to get really worried. My Dr. has giving me different answers about this. First she said 3 weeks after, then 6 to 8 for it to start growing and now she is saying it could take months for the hair to even just start growing back. What is your experience? I don't have anyone to talk to about this and it is starting to freak me out. I have eyebrows and eyelashes left but nothing new on my head. Please advise. Thanks.","After chemo, I had 36 rad treatments finishing up the end of March 2010. By May 2010 I had enough hair to ""carefully"" style and feel OK to go out without a hat. Today, my hair is still coming in. In some places it's still uneven, but it's getting back to the way it used to be. Before all my treatments, I could'nt go anywhere if my hair didn't look right. Now, I'm like, ""who cares, at least it's there."" I'm sure your's will begin to come in soon and you'll be making an appointment with your stylist before you know it. Keep happy thoughts!!",1
"Hi,
Can anyone tell me their experience about how long it takes for hair to start growing back after chemo. I had my last chemo treatment 6 weeks ago and still there is no hair growing, no fuzz either and I am starting to get really worried. My Dr. has giving me different answers about this. First she said 3 weeks after, then 6 to 8 for it to start growing and now she is saying it could take months for the hair to even just start growing back. What is your experience? I don't have anyone to talk to about this and it is starting to freak me out. I have eyebrows and eyelashes left but nothing new on my head. Please advise. Thanks.",Thanks for the info. I was wondering when the hair actually started to growing after the last treatment?,1
"After chemo, I had 36 rad treatments finishing up the end of March 2010. By May 2010 I had enough hair to ""carefully"" style and feel OK to go out without a hat. Today, my hair is still coming in. In some places it's still uneven, but it's getting back to the way it used to be. Before all my treatments, I could'nt go anywhere if my hair didn't look right. Now, I'm like, ""who cares, at least it's there."" I'm sure your's will begin to come in soon and you'll be making an appointment with your stylist before you know it. Keep happy thoughts!!",Thanks for the info. I was wondering when the hair actually started to growing after the last treatment?,1
"Hi,
Can anyone tell me their experience about how long it takes for hair to start growing back after chemo. I had my last chemo treatment 6 weeks ago and still there is no hair growing, no fuzz either and I am starting to get really worried. My Dr. has giving me different answers about this. First she said 3 weeks after, then 6 to 8 for it to start growing and now she is saying it could take months for the hair to even just start growing back. What is your experience? I don't have anyone to talk to about this and it is starting to freak me out. I have eyebrows and eyelashes left but nothing new on my head. Please advise. Thanks.","I haven't posted in a while since I've started back to work and everyone was soooo cool with responding when I did post. Well, I finished chemo on May 7th. I was told 6 weeks after chemo I would see hair. Well I didn't. Then, I thought I would be able to go wigless on the 4th of July. Didn't happen. I thought when I went back to work August 3 I wouldn't have to wear a wig...Not...So, about 2 weeks after returning to work, my husband cleaned up the hair on my neck and side burns and I liked it and I've been wigless since 16 weeks after chemo to be exact. It is short but it covers my head. It is growing even and people think I have good hair. I have been told I can rock this short do, but I am going to let it grow as long as it will. It was shoulder length before chemo. But, I know I watched it everyday! It will grow. I was very worried at six weeks because I still had a clean head. I took biotin at first then I realized it was going to grow without it. I have eye lashes but my thick eye brows are coming in slowly. I have no complaints, just watching my hair grow...Good Luck! It's coming!
rene9",1
"Hi,
Can anyone tell me their experience about how long it takes for hair to start growing back after chemo. I had my last chemo treatment 6 weeks ago and still there is no hair growing, no fuzz either and I am starting to get really worried. My Dr. has giving me different answers about this. First she said 3 weeks after, then 6 to 8 for it to start growing and now she is saying it could take months for the hair to even just start growing back. What is your experience? I don't have anyone to talk to about this and it is starting to freak me out. I have eyebrows and eyelashes left but nothing new on my head. Please advise. Thanks.",Its good to know it took more than 6 weeks. What week did you first see hair and did it grow pretty fast after that? Did you have any hair by the 4th of July? Its not so bad wearing the wig. I just want my hair back!,1
"I haven't posted in a while since I've started back to work and everyone was soooo cool with responding when I did post. Well, I finished chemo on May 7th. I was told 6 weeks after chemo I would see hair. Well I didn't. Then, I thought I would be able to go wigless on the 4th of July. Didn't happen. I thought when I went back to work August 3 I wouldn't have to wear a wig...Not...So, about 2 weeks after returning to work, my husband cleaned up the hair on my neck and side burns and I liked it and I've been wigless since 16 weeks after chemo to be exact. It is short but it covers my head. It is growing even and people think I have good hair. I have been told I can rock this short do, but I am going to let it grow as long as it will. It was shoulder length before chemo. But, I know I watched it everyday! It will grow. I was very worried at six weeks because I still had a clean head. I took biotin at first then I realized it was going to grow without it. I have eye lashes but my thick eye brows are coming in slowly. I have no complaints, just watching my hair grow...Good Luck! It's coming!
rene9",Its good to know it took more than 6 weeks. What week did you first see hair and did it grow pretty fast after that? Did you have any hair by the 4th of July? Its not so bad wearing the wig. I just want my hair back!,1
"Yesterday was my third A/C infusion.  Same nurse I had before (very good).  This time, I bled more than usual at the site upon removal of cath.  I have a round bruise covering the ""nob"" as I call it.  Anyone have this problem?  Should I be concerned?  I'm having my Neulasta tomorrow and will have someone look at it.  I'm just curious about the occurance.
Thanks,
Kim","Yes, I had that but it was because the port ""rolled"" and she missed the target.  It felt like I was being attacked by Jason.  I was bruised for about a week.  Let them know about it if you don't get to feeling better.
P",1
"Yesterday was my third A/C infusion.  Same nurse I had before (very good).  This time, I bled more than usual at the site upon removal of cath.  I have a round bruise covering the ""nob"" as I call it.  Anyone have this problem?  Should I be concerned?  I'm having my Neulasta tomorrow and will have someone look at it.  I'm just curious about the occurance.
Thanks,
Kim","Thank you.  My mom had a med port as well and she had that happen once.  She said something about the blood backing up.  I will ask tomorrow and let ya know!
Kim",1
"Yes, I had that but it was because the port ""rolled"" and she missed the target.  It felt like I was being attacked by Jason.  I was bruised for about a week.  Let them know about it if you don't get to feeling better.
P","Thank you.  My mom had a med port as well and she had that happen once.  She said something about the blood backing up.  I will ask tomorrow and let ya know!
Kim",1
